2023-07-17 16:54:23 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-07-17 16:54:23 0 [Note] InnoDB: Uses event mutexes
2023-07-17 16:54:23 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-07-17 16:54:23 0 [Note] InnoDB: Number of pools: 1
2023-07-17 16:54:23 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-07-17 16:54:23 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2023-07-17 16:54:23 0 [Note] InnoDB: Completed initialization of buffer pool
2023-07-17 16:54:23 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2023-07-17 16:54:23 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 41575775.
2023-07-17 16:54:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=282] with future log sequence number 41269441
2023-07-17 16:54:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=373] with future log sequence number 41269441
2023-07-17 16:54:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=281] with future log sequence number 41269116
2023-07-17 16:54:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=402] with future log sequence number 41269116
2023-07-17 16:54:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=280] with future log sequence number 41268582
2023-07-17 16:54:23 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=2, page number=7] with future log sequence number 41268838
2023-07-17 16:54:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=430] with future log sequence number 41268582
2023-07-17 16:54:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=279] with future log sequence number 41264612
2023-07-17 16:54:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=427] with future log sequence number 41264612
2023-07-17 16:54:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=278] with future log sequence number 41264205
2023-07-17 16:54:24 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=432] with future log sequence number 41264205
